date,month,hour,dayOfTheWeek,site1_utilization,site2_utilization,site1_utilization_percentage,site2_utilization_percentage,temperature,precipitation
2018-01-11,1,8,3,0,0,0.0,0.0,11.0,0.0
2018-01-11,1,9,3,0,0,0.0,0.0,13.0,0.0
2018-01-11,1,10,3,0,0,0.0,0.0,16.0,0.0
2018-01-11,1,11,3,0,0,0.0,0.0,18.0,0.0
2018-01-11,1,12,3,0,0,0.0,0.0,19.0,0.0
2018-01-11,1,13,3,0,0,0.0,0.0,21.0,0.0
2018-01-11,1,14,3,0,0,0.0,0.0,22.0,0.0
2018-01-11,1,15,3,0,0,0.0,0.0,22.0,0.0
2018-01-11,1,16,3,0,0,0.0,0.0,21.0,0.0
2018-01-11,1,17,3,0,0,0.0,0.0,19.0,0.0
2018-01-11,1,18,3,0,0,0.0,0.0,17.0,0.0
2018-01-11,1,19,3,0,0,0.0,0.0,17.0,0.0
2018-01-11,1,20,3,0,0,0.0,0.0,14.0,0.0
2018-01-11,1,21,3,0,0,0.0,0.0,14.0,0.0
2018-01-11,1,22,3,0,0,0.0,0.0,13.0,0.0
2018-01-11,1,23,3,0,0,0.0,0.0,12.0,0.0
2018-01-12,1,0,4,0,0,0.0,0.0,12.0,0.0
2018-01-12,1,1,4,0,0,0.0,0.0,11.0,0.0
2018-01-12,1,2,4,0,0,0.0,0.0,10.0,0.0
2018-01-12,1,3,4,0,0,0.0,0.0,9.0,0.0
2018-01-12,1,4,4,0,0,0.0,0.0,10.0,0.0
2018-01-12,1,5,4,0,0,0.0,0.0,9.0,0.0
2018-01-12,1,6,4,0,0,0.0,0.0,9.0,0.0
2018-01-12,1,7,4,0,0,0.0,0.0,11.0,0.0
2018-01-12,1,8,4,0,0,0.0,0.0,14.0,0.0
2018-01-12,1,9,4,0,0,0.0,0.0,17.0,0.0
2018-01-12,1,10,4,0,0,0.0,0.0,23.0,0.0
2018-01-12,1,11,4,0,0,0.0,0.0,25.0,0.0
2018-01-12,1,12,4,0,0,0.0,0.0,26.0,0.0
2018-01-12,1,13,4,0,0,0.0,0.0,24.0,0.0
2018-01-12,1,14,4,0,0,0.0,0.0,23.0,0.0
2018-01-12,1,15,4,0,0,0.0,0.0,23.0,0.0
2018-01-12,1,16,4,0,0,0.0,0.0,22.0,0.0
2018-01-12,1,17,4,0,0,0.0,0.0,20.0,0.0
2018-01-12,1,18,4,0,0,0.0,0.0,18.0,0.0
2018-01-12,1,19,4,0,0,0.0,0.0,16.0,0.0
2018-01-12,1,20,4,0,0,0.0,0.0,17.0,0.0
2018-01-12,1,21,4,0,0,0.0,0.0,14.0,0.0
2018-01-12,1,22,4,0,0,0.0,0.0,13.0,0.0
2018-01-12,1,23,4,0,0,0.0,0.0,14.0,0.0
2018-01-13,1,0,5,0,0,0.0,0.0,13.0,0.0
2018-01-13,1,1,5,0,0,0.0,0.0,12.0,0.0
2018-01-13,1,2,5,0,0,0.0,0.0,12.0,0.0
2018-01-13,1,3,5,0,0,0.0,0.0,11.0,0.0
2018-01-13,1,4,5,0,0,0.0,0.0,10.0,0.0
2018-01-13,1,5,5,0,0,0.0,0.0,11.0,0.0
2018-01-13,1,6,5,0,0,0.0,0.0,9.0,0.0
2018-01-13,1,7,5,0,0,0.0,0.0,12.0,0.0
2018-01-13,1,8,5,0,0,0.0,0.0,16.0,0.0
2018-01-13,1,9,5,0,0,0.0,0.0,19.0,0.0
2018-01-13,1,10,5,0,0,0.0,0.0,23.0,0.0
2018-01-13,1,11,5,0,0,0.0,0.0,25.0,0.0
2018-01-13,1,12,5,0,0,0.0,0.0,27.0,0.0
2018-01-13,1,13,5,0,0,0.0,0.0,28.0,0.0
2018-01-13,1,14,5,0,0,0.0,0.0,27.0,0.0
2018-01-13,1,15,5,0,0,0.0,0.0,28.0,0.0
